,Player,Team,GP,GS,Min,PTS,PM_2,PA_2,P2proc,PM_3,PA_3,P3proc,FTM,FTA,FTAproc,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
101,M. TOMICMILAN TOMIC,"OLY, CZV, EA7",69,23,22,7.7,1,2.3,41.5,1.3,4.3,31,1.7,2.1,79.1,0.2,1.4,1.6,1.8,0.6,1,0,0.1,2.3,2,5.4
102,A. HOLLINSAUSTIN HOLLINS,"ZEN, CZV, MTA",112,71,18,7.6,1.4,2.6,53.3,1.3,3.9,33.9,0.9,1.1,85.7,0.7,1.1,1.8,0.9,1,0.9,0.2,0.3,2.1,1,5.4
103,S. MARKOVICSTEFAN MARKOVIC,"UNI, KHI, CZV",141,43,19,4,0.6,1.4,43.1,0.7,2.3,29.4,0.8,1,76.6,0.4,1.7,2,3.3,0.8,1.3,0,0.1,2.2,1.5,5.4
104,E. KUQOERMAL KUQO,EFS,114,53,16,7.7,3,5.5,54,0.2,0.6,38.6,1,1.4,68.3,1,2,3.1,0.7,0.5,1.5,0.1,0.2,3,1.5,5.4
105,M. POCIUSMARTYNAS POCIUS,"RMD, GSL, ZAL",116,40,18,7.3,1.5,3.1,47.4,0.9,2.9,31.3,1.6,2.1,76.4,0.4,1.6,2,1.4,0.3,1.5,0.1,0.4,1.8,2.1,5.5
106,B. OLESONBRAD OLESON,"CLA, FCB",150,65,19,6.1,1.1,2.1,50.5,1.1,2.8,38.5,0.8,1,81.9,0.3,1.2,1.5,1.5,0.5,0.7,0.2,0.2,1.8,1.3,5.5
107,S. SANLISERTAC SANLI,"GSL, EFS, BAR, FBB",136,64,13,6.4,2,3.2,62.1,0.4,1.4,31.1,1.1,1.3,80.9,0.9,1.6,2.5,0.6,0.3,0.8,0.4,0.3,2.4,1.2,5.5
108,A. ABRINESALEX ABRINES,"UNI, FCB",210,63,16,6.7,0.9,1.7,52.1,1.4,3.3,41.4,0.9,1,84.4,0.5,1.3,1.8,0.7,0.5,0.5,0.1,0.1,2,1.2,5.5
109,L. ANDRICLUKSA ANDRIC,"CIB, GSL, CED",98,49,16,6.5,2.5,4.2,58.8,0.2,0.5,28.3,1.1,1.8,61.8,1.3,2.3,3.5,0.4,0.7,1.4,0.4,0.3,3.4,1.8,5.6
110,L. RADOSEVICLEON RADOSEVIC,"CIB, EA7, LIE, ALB, BRO, BAY",250,157,16,5.6,2.2,4.2,52.2,0.1,0.2,26.7,1,1.5,70.6,0.9,1.8,2.7,0.7,0.4,1.1,0.3,0.2,1.9,1.6,5.6
111,J. BLAZICJAKA BLAZIC,"UOL, CZT, LBO, FCB",141,39,17,7,1.7,3.6,46.7,0.7,2.2,33.8,1.5,2,74.3,0.9,1.8,2.7,0.7,0.5,1.1,0.1,0.5,1.9,1.9,5.7
112,L. MAVROKEFALIDISLOUKAS MAVROKEFALIDIS,"ROM, OLY, PAO",104,24,13,6.2,2.3,4.5,52.3,0.1,0.4,25,1.3,1.7,76.3,1.1,2,3,0.5,0.3,0.9,0.2,0.3,2.1,1.6,5.7
113,B. BENTILBENJAMIN BENTIL,"PAO, AXM, CZV",107,40,15,6,1.4,2.9,49.4,0.7,1.7,37.4,1.1,1.5,73.6,0.9,1.9,2.8,0.7,0.5,0.9,0.1,0.1,1.8,1.4,5.7
114,V. JANKOVICVLADIMIR JANKOVIC,PAO,66,35,16,5.4,1.1,2.4,47.1,0.8,2.2,34.7,0.9,1.4,66.3,0.7,1.8,2.5,1.4,0.7,0.6,0.1,0.2,2.1,1.7,5.7
115,I. ITURBEIKER ITURBE,"EST, RMD",46,16,18,6.3,1.1,2.2,48.5,1.2,2.7,42.7,0.8,1.1,71.4,0.6,2.1,2.7,0.8,0.9,1.2,0.1,0.1,2.3,1.5,5.7
116,I. VOUGIOUKASIAN VOUGIOUKAS,"OLY, GSL, ZAL, PAO",160,32,10,5,1.8,3.3,55.6,0,0,0,1.4,1.9,75.1,0.8,1.2,2,0.6,0.2,0.7,0.4,0.2,1.8,2.1,5.7
117,N. KURBANOVNIKITA KURBANOV,CSK,291,200,16,4.5,1,1.8,54.7,0.5,1.4,38.2,1,1.2,82.3,0.9,2.1,3,0.9,0.5,0.7,0.3,0.2,1.9,1.2,5.7
118,H. MRAZEKHAROLD MRAZEK,"LUG, ASV",64,26,23,7.3,0.6,1.4,41.8,1.6,3.4,47.7,1.2,1.4,87.5,0.2,1.2,1.5,1.3,0.9,1.6,0.1,0.2,2.7,2,5.8
119,D. MRSICDAMIR MRSIC,FBU,58,10,20,7.8,0.5,0.8,63.3,2,4.8,42.2,0.6,0.8,82.2,0.2,0.8,1,1.4,0.5,1,0,0,1.6,1,5.8
120,S. PANOVSERGEY PANOV,"PEM, CSK",105,26,14,5,1.3,2.2,58.8,0.5,1.4,36.6,1,1.2,81,1,2.3,3.2,1,1,0.8,0.2,0.2,2.6,1.1,5.9
121,R. SMITSROLANDS SMITS,"FCB, ZAL",145,58,16,5.9,1.6,2.7,59.4,0.6,1.8,35.2,0.8,1,83.7,1.1,2.2,3.3,0.7,0.3,0.9,0.1,0.2,2.1,1.2,5.9
122,J. TIMMAJANIS TIMMA,"BKN, OLY, KHI, UNK",96,68,21,7.4,0.9,1.6,55.1,1.7,4.4,38.2,0.5,0.7,70.4,0.6,1.6,2.2,1.2,0.8,1.1,0.1,0.2,2,1.1,5.9
123,L. WESTERMANNLEO WESTERMANN,"PAR, LIM, CSK, ZAL, FCB, FNB, ASM",176,102,18,6.1,1,2.4,43,1,2.7,37.6,0.9,1.1,85.9,0.3,1.7,2,3.1,0.5,1.8,0,0.2,2.3,1.6,5.9
124,P. RIBASPAU RIBAS,"CJB, CLA, VBC, FCB",165,56,17,5.5,0.9,2,47.4,1,2.6,38.9,0.6,0.7,83.3,0.3,1.4,1.8,2.2,0.7,1,0,0.1,1.7,1.2,5.9
125,N. PAPPASNIKOS PAPPAS,PAO,130,13,16,7,1.6,3.1,50.7,0.7,2.2,31.6,1.7,2.2,80.8,0.3,1.1,1.4,1.1,0.6,1,0,0.3,1.8,2.3,5.9
126,M. BELINELLIMARCO BELINELLI,"FOR, VIR",98,35,19,8.3,1.4,2.9,49.7,1.4,3.7,38.4,1.1,1.4,77.5,0.4,1,1.3,1,0.7,0.9,0,0.2,1.8,1.6,5.9
127,P. ORIOLAPIERRE ORIOLA,FCB,142,29,16,5.4,1.7,2.9,58.4,0.4,0.9,41.3,1,1.5,64.6,1.2,2,3.2,0.7,0.3,0.8,0.3,0.2,2.1,1.3,5.9
128,K. TUNCERIKEREM TUNCERI,"ULK, RMD, EFS",160,99,23,5.9,1.1,2.6,43.8,0.9,3,31.2,0.8,1.1,78.9,0.2,1.4,1.7,3.1,1,1.6,0.1,0.1,1.8,1.4,6
129,L. OLINDELOUIS OLINDE,"BRO, BER",93,44,16,5.4,1.3,2.4,53.3,0.6,1.7,35.6,1,1.2,78.8,1,2.2,3.2,0.7,0.5,0.8,0.3,0.3,1.8,1.5,6
130,N. RODRIGUEZNACHO RODRIGUEZ,FCB,62,13,16,4.1,0.7,1.5,48.9,0.5,1.5,34.4,1.1,1.5,73.9,0.4,1.6,2,2,0.9,0.9,0,0.2,1.6,1.8,6
131,J. BOLOMBOYJOEL BOLOMBOY,"CSK, OLY, CZV",138,20,13,4.5,1.5,2.6,59.4,0.2,0.7,32.3,0.8,1.1,71.2,1.3,1.9,3.3,0.4,0.3,0.6,0.4,0.2,1.5,1.2,6
132,B. MOTUMBROCK MOTUM,"ZAL, EFS, VBC, ASM",164,22,15,7.1,1.9,3.5,54.6,0.8,1.8,42.6,0.9,1.1,79.8,0.8,1.5,2.3,0.5,0.4,0.7,0.1,0.3,1.2,1,6
133,V. BOISAVLADIMER BOISA,"MPS, ARI, UOL",89,67,22,7.9,2,4.2,47.6,0.8,2.4,31.2,1.7,2.7,63.6,1.2,2.1,3.3,0.7,0.6,0.9,0.1,0.3,3.2,2.6,6.1
134,N. GIFFEYNIELS GIFFEY,"BER, ZAL, BAY",130,37,17,6.8,1.6,3.1,50.5,0.9,2.2,42.6,0.9,1.1,83.2,0.8,1.7,2.5,0.9,0.7,0.9,0.2,0.2,2.2,1.2,6.1
135,M. JANNINGMATT JANNING,"MPS, EFS, LOK, KBA",152,81,22,8,1.1,2.3,46.5,1.7,4.6,37,0.7,0.8,81,0.3,1.5,1.9,1.6,0.7,1,0.1,0.1,1.9,1.2,6.1
136,R. JOKUBAITISROKAS JOKUBAITIS,"ZAL, BAR",130,7,15,5.7,1.6,3.3,48.7,0.5,1.2,44.4,0.9,1.2,75.8,0.3,1.2,1.6,2.3,0.3,1.3,0,0.2,1.4,1.6,6.1
137,I. DE MIGUELIGNACIO  DE MIGUEL,"OLY, UNI, RMD",75,21,15,5.4,1.7,3.3,51.4,0,0.1,11.1,1.9,2.6,74.1,1.3,2.2,3.5,0.5,0.6,1.1,0.2,0.3,2.7,2.4,6.2
138,B. RODRIGUEZBERNI RODRIGUEZ,UNI,169,74,21,7.4,1.3,2.7,47.9,1.1,2.9,37.8,1.5,1.9,80.4,0.4,1.4,1.8,2.1,0.7,1.6,0,0.3,2.4,1.9,6.2
139,K. RIVERSKC RIVERS,"KHI, RMB, PAO, ZAL, ZEN, BAY",206,70,22,8.1,1.4,2.9,50,1.6,4.1,38.2,0.5,0.8,69.6,0.5,1.8,2.3,1,0.7,0.6,0.1,0.2,2.1,1.1,6.2
140,F. ALVERTISFRAGISKOS ALVERTIS,PAO,115,34,19,8.2,1.3,2.6,49.3,1.3,3.2,41.7,1.6,2,79.8,0.4,1.3,1.6,0.6,0.6,0.7,0.1,0.1,2.5,2.1,6.2
141,F. DYLEWICZFILIP DYLEWICZ,"PRO, TUR",79,11,16,5.2,1.6,3.2,49,0.4,1.2,29.9,1,1.6,62.1,1.4,2.4,3.8,0.9,0.7,0.9,0.4,0.2,1.7,1.2,6.2
142,T. BURSTEINTAL BURSTEIN,MTA,178,104,20,6.3,1.7,3.3,50.2,0.6,1.8,34.1,1.2,1.6,75.3,0.5,2.1,2.6,1.7,0.8,1.1,0.1,0.2,2.4,1.7,6.2
143,G. VIDMARGASPER VIDMAR,"LJU, BJK, FBU",102,91,16,5.8,2.4,4.2,57.1,0,0,0,1.1,2.5,42.2,1.7,2.1,3.8,0.5,0.7,1.5,0.5,0.4,2.7,2.9,6.3
144,R. BLAKNEYRODERICK BLAKNEY,"AEK, OLY, UNI",48,32,22,6.7,1.4,3.4,42.3,0.9,2.2,38,1.3,1.5,87.3,0.4,1.2,1.6,2.4,1.1,0.9,0.1,0.2,2.4,1.5,6.3
145,S. VIDALSERGI VIDAL,"BKN, RMD, UNI",226,69,18,4.7,1,2,48.8,0.5,1.5,35.1,1.2,1.6,75.1,0.5,1.7,2.1,1.4,0.8,0.8,0,0.1,1.3,1.8,6.3
146,S. MANCINELLISTEFANO MANCINELLI,"FOR, MIL",119,59,19,6.3,2,3.4,58.4,0.5,1.7,29.5,0.8,1.2,66.4,0.8,2,2.8,1.1,1,0.9,0.2,0.2,2.2,1.2,6.3
147,N. HATZIVRETTASNIKOS HATZIVRETTAS,"CSK, PAO",141,84,20,7.7,1.5,2.7,56,0.9,2.4,39.3,1.8,2.3,77.6,0.3,1.3,1.7,0.9,0.6,0.9,0.1,0.2,2.4,2,6.3
148,J. DIEBLERJON DIEBLER,"EFS, GSO, DTI",78,27,20,6.7,0.5,1.2,44,1.7,3.5,47.1,0.7,0.8,86.9,0.4,1.3,1.7,1.4,0.4,0.7,0,0.1,2,1.5,6.3
149,M. SLAUGHTERMARCUS SLAUGHTER,"BRO, RMD, DDI",134,15,15,4.4,1.7,2.7,63.5,0,0,0,1,1.7,57.1,1.2,2.1,3.2,0.6,0.8,0.8,0.6,0.1,2.5,1.8,6.3
150,J. INGLESJOE INGLES,"FCB, MAC",95,35,18,5.6,1.2,2.3,53.5,0.8,2.2,34.9,0.8,1.1,75.5,0.4,1.8,2.2,1.7,0.6,1,0.1,0.1,1.4,1.5,6.3
151,K. VASILEIADISKOSTAS VASILEIADIS,"PBC, OLY, BIL, EFS, UNI",100,41,18,7.8,0.9,1.9,47.1,1.6,4.2,37,1.4,1.7,86.2,0.4,1.5,2,0.8,0.6,1,0.1,0.2,1.6,1.6,6.3
152,O. DOBRICOGNJEN DOBRIC,"CZV, VIR",154,43,18,7.7,1.6,3.1,50.7,1.2,3.3,36.6,0.9,1.2,77.2,0.6,1.3,1.9,0.9,0.7,0.8,0.1,0.2,1.4,1.4,6.4
153,S. OZBOLTSASO OZBOLT,"UOL, ZAG",84,50,23,7.3,1.3,2.8,45.6,1,3,34.5,1.7,2.1,79.5,0.4,1.4,1.9,1.6,1.1,1.5,0.1,0.3,2.3,2.4,6.4
154,A. VORONTSEVICHANDREY VORONTSEVICH,"CSK, UNK",293,119,16,5.6,1.1,2.1,52.6,0.9,2.4,40,0.6,0.8,72.5,0.9,2.2,3.1,1,0.4,0.6,0.4,0.1,1.7,0.9,6.4
155,T. RUPERTTHIERRY RUPERT,PAU,42,26,18,5.8,2.3,4.6,49.2,0,0,0,1.2,1.4,85,1.5,2.3,3.7,0.4,0.5,1.1,1,0.4,2.3,1.2,6.4
156,O. SAVASOGUZ SAVAS,"ULK, DTI",202,69,14,5.9,2.2,4,55.4,0.1,0.2,27.9,1.3,1.8,76.6,1.2,1.7,2.8,0.7,0.4,1,0.3,0.4,1.8,1.8,6.4
157,K. TILLIEKIM TILLIE,"LBO, OLY, HGC",124,56,19,6.1,1.6,3.1,52.8,0.7,1.7,39.6,0.8,1.1,75.2,1.4,2.2,3.6,0.9,0.7,0.9,0.2,0.2,2.2,1,6.4
158,P. SANCHEZPEPE SANCHEZ,"PAO, UNI, FCB, RMD",105,36,20,4.6,1,2.1,47.7,0.6,1.8,32.6,0.8,1.1,76.1,0.5,2.4,2.8,2.9,1.3,1.8,0,0.1,2.2,1.4,6.4
159,S. PERPEROGLOUSTRATOS PERPEROGLOU,"PAO, OLY, EFS, FCB, CZV",222,124,19,7.1,1.6,3.6,45,0.9,2.5,37.1,1.1,1.5,76.1,0.4,2.2,2.6,1.1,0.7,0.9,0.2,0.2,2,1.8,6.4
160,I. BAKOISMAEL BAKO,"ASV, VIR",85,5,13,5.3,1.8,3,60.6,0,0,0,1.6,1.8,86.5,1.2,1.6,2.8,0.4,0.5,0.7,0.8,0.2,2.2,1.3,6.5
161,C. OSMANCEDI OSMAN,EFS,98,53,18,6.7,1.4,2.9,47.2,1,2.7,35.6,1.1,1.6,71,0.8,2.1,2.9,0.9,0.7,0.7,0.1,0.2,1.9,1.6,6.5
162,E. JACKSONEDWIN JACKSON,"UNI, FCB, BUD, ASV",91,51,20,7.5,1.4,3.1,45.1,1.1,3.5,32.7,1.2,1.5,84.1,0.4,1.4,1.8,1.8,0.5,1.3,0,0.2,1.5,2.2,6.5
163,V. AVDALOVICVULE AVDALOVIC,"PAR, CHO, ALB",71,26,20,6.5,1.1,2.4,45.2,0.8,2.3,36.6,1.9,2.4,79.2,0.3,1.2,1.5,2.2,0.7,1.4,0,0.2,2.6,3,6.5
164,A. ABALDEALBERTO ABALDE,"VBC, RMB",142,65,18,6.3,1.3,2.8,46.9,0.9,2.3,38.3,0.9,1.2,77.3,0.6,2.1,2.7,1.8,0.4,1,0,0.2,1.6,1.3,6.6
165,T. DARDENTREMMELL DARDEN,"UNI, ZAL, RMB, OLY",88,85,20,6.5,1.9,3.6,51.7,0.6,1.5,41,0.9,1.1,75,0.7,2.1,2.7,0.7,0.4,0.7,0.5,0.3,1.4,1.1,6.6
166,M. SIMONOVICMARKO SIMONOVIC,CZV,104,22,20,7.5,1.1,2.2,51.3,1.4,3.5,40.8,0.9,1.2,78,0.5,1.9,2.4,0.5,0.5,0.5,0.1,0.2,1.5,1.2,6.6
167,F. ALDEMIRFURKAN ALDEMIR,"GSL, DDI",86,32,13,4.1,1.6,2.8,58.8,0,0,0,0.9,1.4,61.3,1.7,2.5,4.2,0.4,0.3,0.7,0.6,0.2,1.7,1.2,6.6
168,B. EZEBENJAMIN EZE,"KHI, MPS",117,90,18,5.9,2.5,4.4,56.2,0,0,20,1,1.8,53.7,1.4,2.4,3.8,0.2,0.9,1.2,1,0.3,2.4,1.6,6.6
169,N. VELICKOVICNOVICA VELICKOVIC,"PAR, RMD, BRO",120,52,17,6.4,1.9,3.8,50.7,0.5,1.7,31,1.1,1.7,63.2,1.2,2.5,3.6,1.1,0.6,1.2,0.2,0.2,1.9,1.8,6.6
170,O. DA SILVAOSCAR DA SILVA,"BER, BAR",61,11,15,6.1,2.2,3.6,61.1,0.3,1,27.1,0.9,1.3,69.2,1.1,1.9,3,0.5,0.6,0.7,0.4,0.4,1.6,1.3,6.7
171,Z. DRAGICZORAN DRAGIC,"UNI, KHI, EA7, EFS, TDS, ZAL",152,70,19,7.9,2,3.8,51,0.8,2.7,30,1.5,2.1,73.7,0.8,1.4,2.2,1,0.7,1,0.1,0.4,1.9,2.5,6.7
172,J. HUKICJASMIN HUKIC,"PRO, LJU",76,33,21,8.4,1.3,3,43.9,1.6,4.3,37.3,1,1.3,74,0.7,2.4,3.1,1.1,0.7,1.1,0.1,0.2,2.1,1.5,6.7
173,W. HERRMANNWALTER HERRMANN,"UNI, CLA",50,23,18,7.4,1.9,3.6,51.7,0.9,2.5,36.3,1,1.4,67.6,0.7,2.1,2.8,0.6,0.4,0.8,0.1,0.2,1.3,1.7,6.7
174,L. JEAN-CHARLESLIVIO JEAN-CHARLES,"ASV, OLY",85,31,16,6.3,2.2,3.7,61,0.3,1.1,29.9,0.8,1,82.1,1.3,1.8,3,0.6,0.5,1.1,0.5,0.2,1.6,1.1,6.7
175,D. HILLIARDDARRUN HILLIARD,"KBA, CSK, BAY, MTA",150,66,19,9.2,1.5,3.4,44.8,1.6,4.2,37.4,1.5,1.9,81.7,0.3,2,2.3,1.2,0.6,1.2,0.1,0.4,2.1,1.8,6.8
176,R. DE LA FUENTERODRIGO DE LA FUENTE,"FCB, ROM",156,92,21,5.8,1.6,3.1,50.6,0.5,1.5,34.5,1,1.3,80.8,0.8,2.3,3.1,1.1,0.8,0.9,0.1,0.2,1.6,1.5,6.8
177,T. SEDEKERSKISTADAS SEDEKERSKIS,TDS,98,38,15,4.1,1.2,1.8,64.6,0.4,1.1,35.2,0.6,0.8,75,0.8,2.6,3.4,1,0.5,0.5,0.2,0.2,1,0.8,6.8
178,J. ANDERSONJAMES ANDERSON,"ZAL, DDI, KHI, EFS",223,139,18,6.6,1.4,2.9,49.5,1,2.7,36.4,0.9,1.2,77.2,0.7,2.4,3.1,1,0.5,0.7,0.2,0.2,1.6,1.2,6.8
179,K. TARCZEWSKIKALEB TARCZEWSKI,AXM,156,113,15,5.2,1.9,3.1,62.8,0,0,0,1.3,1.8,68.3,1.7,2.4,4,0.4,0.3,0.9,0.6,0.2,2.6,1.9,6.8
180,T. BLATTTAMIR BLATT,"BER, MTA",61,17,17,6.4,0.4,1,35.5,1.6,4.6,35.6,0.9,0.9,92.9,0.2,1,1.3,4.1,0.3,1.9,0,0.1,0.9,1.3,6.8
181,D. KUSDAVOR KUS,"AEK, UNI, CIB",148,56,21,7.6,1.3,2.8,46.5,0.9,2.4,37.6,2.3,2.7,83.4,0.3,1,1.3,1.7,0.6,1.4,0.1,0.2,1.9,2.5,6.8
182,K. TSARTSARISKOSTAS TSARTSARIS,"PER, PAO",239,137,18,6.3,1.8,3.3,56.2,0.4,1.3,32,1.4,2,69.3,1.1,2.7,3.8,0.9,0.5,1.1,0.3,0.2,2.7,2,6.8
183,M. MORDENTEMARCO MORDENTE,"MPS, TRE, MIL",72,16,22,7.5,1.3,2.8,48.5,1.2,2.6,45,1.2,1.5,82.2,0.5,1.6,2.1,1.4,0.8,1.2,0,0.1,2.8,2.3,6.9
184,A. SAVRASENKOALEKSEY SAVRASENKO,"PER, OLY, CSK, KHI, UNK",173,93,17,5.4,2.3,3.8,61.2,0,0,0,0.8,1.7,45.2,1.7,2.4,4.1,0.5,0.4,0.9,0.8,0.2,2.3,1.6,6.9
185,A. DROZDOVARTUR DROZDOV,"PAU, BUD",67,39,21,7.1,2,3.6,53.7,0.8,2.1,39.4,0.7,1.3,52.4,0.9,2,2.9,1.1,0.8,1.2,0.4,0.1,1.5,1.1,6.9
186,R. SORKINROMAN SORKIN,MTA,59,5,13,5.5,2.2,3.2,68.4,0.1,0.4,24,0.8,1.3,64.5,1.4,1.3,2.7,0.6,0.3,0.4,0.6,0.1,1.6,1.2,6.9
187,M. ROLLMICHAEL ROLL,"MTA, AXM",122,64,20,7.3,1.7,3.3,49.8,1.1,2.6,42.2,0.7,0.7,88.9,0.3,1.6,2,2.1,0.5,0.8,0,0.1,1.7,1,6.9
188,M. TOMASMARKO TOMAS,"RMD, CIB, FBU, CED",74,42,22,8.4,1.3,3,43.6,1.3,3.6,35,2,2.5,79,0.7,1.7,2.4,1.2,0.8,1.3,0.1,0.2,2.3,2.4,6.9
189,Y. OHAYONYOGEV OHAYON,MTA,138,104,21,5.8,1.5,3.5,41.9,0.7,1.8,37.9,0.8,1.3,66.5,0.5,2,2.5,3.2,1.1,1.5,0.1,0.2,2.1,1.7,6.9
190,L. LEKAVICIUSLUKAS LEKAVICIUS,"PAO, ZAL",264,25,16,7,1.8,3.6,50.7,0.7,1.8,39.6,1.2,1.4,84,0.3,1,1.3,2.4,0.5,1.4,0,0.2,1.8,2.4,6.9
191,M. KALNIETISMANTAS KALNIETIS,"LOK, EA7, ZAL",194,98,20,6.7,1.9,3.5,52.5,0.7,2.4,30.8,0.7,1,71.1,0.2,1.9,2.1,3,0.7,1.9,0.1,0.2,1.3,1.4,7
192,A. PETERSALEC PETERS,"CSK, EFS, TDS, OLY",146,42,17,6.8,1.2,2.3,53.6,1.1,2.6,43.1,0.9,1,90.2,0.8,2.1,2.9,0.9,0.5,0.6,0.1,0.3,1.9,1.3,7
193,D. MARCELICDAVOR MARCELIC,"ZAD, FOR, ASV, PAU, CIB",74,43,25,8.8,1.5,2.9,50.5,1.6,4.9,32.4,1.1,1.4,77.5,0.8,2.1,2.9,1.2,0.8,1.2,0.1,0.1,2,1.6,7
194,T. VAN DEN SPIEGELTOMAS VAN DEN SPIEGEL,"FOR, PRO, CSK, RMD, MIL",101,23,14,5.6,2,3.3,60.5,0,0,0,1.7,3.1,55.2,1.6,2.3,3.9,0.3,0.7,1,0.8,0.2,2.8,2.4,7
195,M. BULLERIMASSIMO BULLERI,"TRE, MIL",126,52,21,8.7,2,3.9,50.2,1,2.9,34.8,1.7,2.1,82.2,0.3,1.4,1.8,1.7,1.1,2,0.1,0.3,2.3,2.5,7
196,C. CABEZASCARLOS CABEZAS,"UNI, KHI, CLA",161,94,21,7.2,1.7,3.1,54.3,0.7,2.2,33.7,1.6,2.1,79.5,0.6,1.4,2,1.7,0.6,1.5,0,0.3,1.6,2.2,7.1
197,M. GECEVICIUSMARTYNAS GECEVICIUS,"OLY, LRY",86,31,18,7.3,1,2,49.1,1.4,3.3,41.3,1.2,1.5,84.8,0.2,1.5,1.7,1.3,0.6,1.1,0,0.2,1.3,2,7.1
198,J. MACIULISJONAS MACIULIS,"ZAL, MIL, PAO, RMB",239,167,20,7.6,1.6,3.1,50,1.1,3,35.8,1.3,1.8,71.1,0.9,2.2,3.1,1,1,1.1,0.1,0.2,2.4,1.9,7.1
199,A. FROSINIALESSANDRO FROSINI,"VIR, PES",74,45,21,6.4,2.6,5.3,49.7,0,0,0,1.1,1.7,65.1,1.8,2.7,4.5,0.4,0.8,1.1,0.7,0.3,2.6,1.6,7.1
